nome,fígado,guarana,feijoada,caju,picanha,cuscuz,sushi,ceviche,paçoquinha,açaí,fruta-do-conde,acarajé
Mateus,3,8,7,10,10,5,8,10,10,9,10,6
Carlos,2,8,10,4,10,8,10,10,10,9,7,6
Ale,4,9,10,8,10,7,8,7,10,10,7,6
Rafael,3,7,8,5,9,8,8,7,7,7,5,6
Fernando,7,7,10,5,7,0,10,10,5,10,5,7
js,2,8,6,3,10,5,4,2,8,7,3,4
Brayan,4,5,6,5,8,5,7,10,8,7,5,6
zeneto,3,9,8,5,10,5,9,7,5,5,5,6
lucas,1,7,1,8,1,10,1,1,9,7,9,1
eduardo,2,8,9,7,10,9,8,7,8,8,6,6
